COP20,COP21,COP22,COP23,COP24,COP25,COP26
0.0077486546,0.0077665267,0.007947542,0.0077109463,0.0077383486,0.008045893,0.0077017443
0.0077055157,0.0077476916,0.007876717,0.0077103004,0.0076959524,0.00801847,0.007641689
0.007602838,0.0076901456,0.0077961804,0.0076862006,0.007637713,0.007967876,0.0075964457
0.007566136,0.0076756775,0.0077447654,0.007629503,0.0075429403,0.007896588,0.0075354455
0.007535837,0.0076077287,0.00766268,0.007617246,0.0074953157,0.0078652045,0.0074944473
0.0075155166,0.0076005887,0.0076548294,0.0075809592,0.0074114213,0.00783821,0.007440236
0.007474985,0.0075754737,0.007611914,0.0075468877,0.0072884676,0.007714541,0.0073824017
0.007459031,0.0075067524,0.0075787883,0.0075047663,0.007211915,0.007641471,0.0073499046
0.007410253,0.007488767,0.007533614,0.007462366,0.0071256813,0.0076324996,0.007327793
0.007379478,0.007458515,0.0075079696,0.00742039,0.00704087,0.007567202,0.0072952034
0.0073412466,0.007441813,0.0074445466,0.007389834,0.0070209615,0.0075457576,0.007263835
0.007315839,0.0074044126,0.0074200504,0.007348042,0.006911412,0.007518888,0.00725147
0.0072801188,0.0073680948,0.0073109455,0.007308685,0.006896824,0.007478485,0.00724174
0.007260249,0.0073584425,0.0072848173,0.007279595,0.006858301,0.007452106,0.0072270688
0.007240925,0.007291093,0.0072826934,0.0072202096,0.0068114013,0.0074322717,0.0072119446
0.0072042746,0.007247025,0.007238134,0.0072193476,0.00679917,0.0074211108,0.0071752737
0.007167939,0.007193654,0.007144234,0.007172016,0.006748909,0.0073981527,0.0071399393
0.0071174605,0.0071583665,0.0071007907,0.0071377046,0.006692,0.0073607867,0.0071264496
0.007102643,0.0070920857,0.0070781405,0.0070969616,0.006637451,0.007330914,0.007094684
0.007087731,0.007044516,0.007040159,0.007062901,0.0066135335,0.0073097358,0.007075447
0.007058118,0.007009879,0.0070049544,0.0070249857,0.006605244,0.0072490224,0.007032166
0.007009492,0.006986872,0.006971114,0.006964583,0.0065712677,0.0072242194,0.007021049
0.006993849,0.006959386,0.006923188,0.006955844,0.006518394,0.0072032674,0.0069779037
0.00696643,0.0069507533,0.006914752,0.006915842,0.006479992,0.007166391,0.006918142
0.0069288537,0.0069166864,0.0068886285,0.0068609645,0.006429006,0.007152636,0.006888082
0.0069139083,0.0068916027,0.006861685,0.0068231225,0.006409857,0.0071107512,0.006862112
0.006907326,0.0068837767,0.006812965,0.0067929914,0.0063914247,0.0070938836,0.0068549826
0.006849308,0.006862023,0.0067662685,0.0067690862,0.0063537187,0.0070843864,0.0068469704
0.006838325,0.0068542007,0.0067276903,0.0067317863,0.0063251946,0.007066843,0.006841429
0.006797284,0.006810618,0.006709798,0.006693644,0.006317758,0.0070560374,0.0068244627
0.006748957,0.006783935,0.006694072,0.0066892486,0.006307187,0.0070310556,0.0068034204
0.006722414,0.006737467,0.0066522267,0.006653538,0.0062956647,0.007006856,0.006785996
0.006675382,0.0067346557,0.0066364105,0.0066303015,0.006268116,0.006960519,0.006783057
0.0066374238,0.006690112,0.0065906434,0.006607573,0.0062587224,0.006943325,0.0067548286
0.006618481,0.0066378103,0.0065389173,0.0065933387,0.006242568,0.0069315303,0.0067196214
0.006602982,0.0066105616,0.0065299226,0.0065637515,0.006225351,0.0069140256,0.006706353
0.0065720114,0.006606213,0.006515302,0.00654824,0.006193288,0.0068954695,0.0066751395
0.0065163746,0.006530342,0.006477861,0.0065119267,0.0061803227,0.0068686423,0.006631111
0.0064839805,0.00649879,0.006445763,0.006478675,0.0061711166,0.0068541793,0.0066229478
0.0064771213,0.0064825057,0.0064281463,0.006465822,0.006156475,0.0068490054,0.0065934686
0.0064126654,0.0064191213,0.0058711586,0.006425771,0.0057018753,0.0064485366,0.0060952767
0.0044477964,0.004698493,0.0025416794,0.0046588117,0.0023082197,0.0025354773,0.002219848
